NAME,ASINS,TIME,RATING,URL,REVIEW_SUMMARY,FULL_REVIEW
Placeholder,B0C7C1DRK5,Reviewed in India on 28 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGKHTTMYFUCSXTSMZM2PCQCPMCRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Samsung m34,I got this mobile in 14000 without charger. It's a good deal at this price. However it has 6000 mh battery but still stands for a day.I feel 1000 extra is given due to weak processor. U won't get the feeling of 6000 mh. Little heats up while sharing Hotspot and battery drains .
Placeholder,B0C7C1DRK5,Reviewed in India on 8 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEDSUIRYOSOQHCRYRBSNGQMRNBTQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Samsung M34- Allrounder Smartphone,M34 is good Allrounder -Mid level Budjet Smartphone afforadable for many. Battery capacity and Display is Main. Good for daily usage and light Gaming can do.
Digamber Bhatt,B0C7C1DRK5,Reviewed in India on 11 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGXMF6OBTZSSVIQQK3OD5XV7BBUA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,SUPER SATISFIED WITH SAMSUNG M34 MOBILE PHONE,"The phone meets all the expectations for the 20k price point, the display is top notch and also there is no lag in performance. The photo quality is also good with all natural colours. Bought this phone for my wife, 6000 mqh Good battery life, ample screen size and camera quality."
Placeholder,B0C7C1DRK5,Reviewed in India on 9 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFT3A5EEJX2ZDXDFARRX2HR5I6BA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Super value for money,"Pros; magnificent display, above average camera with ois, 6000 mah battery, 4 years of Android updates and 5 years security patch, above all world wide service centers Cons; Very big intolerable bottom chin which considerably reduces viewing pleasure, no stereo speakers, very slow charging . No ip rating, For this price no company is providing this much of premium features. Special thanks to amazone for next day pleasant delivery"
amit,B0C7C1DRK5,Reviewed in India on 11 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGXTPKVKDV3W72DWI7DXR43XSQWA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Just for daily use not for any fun,Camera not so good quality is OK battery is also just ok
Atul s.,B0C7C1DRK5,Reviewed in India on 12 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGNRC6LLQ2SKKXDGJDS5BL22UZUQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Battery is draining fast,"Samsung please battery draining kam karo aur ye phone me jab heavy app run karo tab ram plus work nahi karta just 6 gb hai agar to 6 hi kam aayega agar usme 1gb bbachi hai to phone slow hone lagega

Cons
Battery draining
No use of ram plus
Camera quality low
Face id is not working in low light"
Amazon Customer,B0C7C1DRK5,Reviewed in India on 21 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AELK4DLEXSUP5VOKYF244B3CY5IQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good,Highlight of this smartphone is the camera. Camera quality is very good
Placeholder,B0C7C1DRK5,Reviewed in India on 14 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH5IOEMORV6C4IGRTST3ZD4V6YPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,CHARGER IS IMP NOT GIVEN,A data cable with both side c type given how to charge my phone please reply or provide me charger ....n data cable for charhing ....i was samsung customer from many years but this time disappionted
SHARON BENEDICT,B0C7C1DRK5,Reviewed in India on 1 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEMCYQ4MWXGSWDR66ZAJ3NRQ6INA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good for Old people who are above 50's or 45's,Camera quality is low other then every thing is good...
Arjun solanki,B0C7C1DRK5,Reviewed in India on 8 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFY2IX37S3TYSTAVJWNB5WXXALHQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Camera,Overall phone is good but selfie camera is not good (bellow average)
